1005,	 "Thu Jan 01 09:00:00 UTC 2015",	 "(42.99548, -74.3346)"
 1005,	 "Fri Jan 02 09:00:00 UTC 2015",	 "(38.55343, -89.9607)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55302, -89.96072)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55303, -89.961)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55303, -89.96146)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55303, -89.96186)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55301, -89.96222)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55301, -89.96229)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55302, -89.96234)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55303, -89.96237)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55304, -89.9624)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55306, -89.96243)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55308, -89.96244)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55311, -89.96246)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55314, -89.96246)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.5532, -89.96247)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55326, -89.96247)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55335, -89.96247)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55342, -89.96248)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55348, -89.9625)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55352, -89.96253)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55355, -89.96254)"
 1005,	 "Fri Jan 02 17:35:09 UTC 2015",	 "(38.55358, -89.96257)"
